,Collection Month,No FICO DQ,No FICO Bal,LT 500 DQ,LT 500 Bal,501-600 DQ,501-600 Bal,601-700 DQ,601-700 Bal,701-800 DQ,701-800 Bal,801+ DQ,801+ Bal,Deal
0,9/30/2018,152581.85,41577157.11,2088588.48,41577157.11,15788843.8,510286909,5672057.3,292580408,33984.41,1690881.79,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,8/31/2018,206477.14,42931868.72,1667034.23,42931868.72,14303687.75,526573010.6,5362181.17,302682353.5,9318.64,1747656.1,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,7/31/2018,145766.96,44985001.92,1883870.02,44985001.92,15272759.89,546012740.4,4955573.55,313134782.7,24873.19,1828354.91,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,6/30/2018,146647.04,46385169.58,1881938.75,46385169.58,14308837.22,565203608.2,5162900.19,324649677,21500.75,1876747.31,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,5/31/2018,60471.56,48193015.14,2203382.92,48193015.14,15983745.67,583433563.2,4488233.24,336210742,9619.94,1935657.39,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,4/30/2018,98976.72,49912844.24,2295709.98,49912844.24,16675232.33,603717970.3,5136589.64,347650546.4,456.98,2147347.04,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,3/31/2018,167550.57,51615448.3,2174580.23,51615448.3,16668853.16,622590006,5721260.34,359519529.8,1476.58,2251586.29,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,2/28/2018,152971.01,53634796.3,2868118.7,53634796.3,22412968.26,644795117,8212724.65,372548078.3,19473.08,2369300.96,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,1/31/2018,159009.07,55392563.29,3316452.03,55392563.29,24438325.64,663636745.9,7601988.36,383650431.1,50417.67,2493466.87,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,12/31/2017,171210.97,56807403.1,1895282.43,56807403.1,14557795.23,680724406.6,3801791.81,394437849.4,12226.99,2665498.59,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,11/30/2017,189833.62,58464015.05,1878510.49,58464015.05,13246436.84,699133268.2,3189693.15,405433704.6,22652.47,2746817.01,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,10/31/2017,100470.62,60066864.36,2066273.1,60066864.36,14307558.79,718638561.8,3616662.35,416034537,22517.77,2824582.05,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,9/30/2017,53303.85,61817730.08,1958221.06,61817730.08,13727563.21,739822103.3,3814785.73,428558393.4,48404.66,2925669.39,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,8/31/2017,97803.8,63818773.15,2088207.03,63818773.15,13112701.68,760030624.5,3227188.85,440883867.1,22315.13,2961705.91,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,7/31/2017,104158.42,65658673.37,1774084.87,65658673.37,11078127.03,780700267.4,2908061.33,454119651.1,27424.75,3133821.17,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,6/30/2017,37813.25,67259139.22,1499955.09,67259139.22,7570894.38,799114751.4,1950276.85,465585707.2,35589.2,3270868.06,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,5/31/2017,0,68745728.96,716710.72,68745728.96,4016722.8,815621884.9,987889.09,476288672.7,8164.45,3340600.08,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,4/30/2017,0,70051116.63,52265.47,70051116.63,232002.81,830752385,28635.34,486802070,0,3414205.62,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,3/31/2017,0,71085051.7,182226.55,71085051.7,761170.17,842527193.3,107283.76,494742700.2,0,3464883.94,0,0,AmeriCredit Automobile Receivables Trust 2017-2
0,9/30/2018,130047.08,38888580.79,1867703.7,38888580.79,14236635.98,512884495.9,5529689.3,308028707.7,71323.51,2024474.48,0,0,AmeriCredit Automobile Receivables Trust 2017-3
0,8/31/2018,201515.95,40319286.95,1760816.62,40319286.95,13744791.46,529123667.7,5030172.87,318363972.4,73962.12,2082166.43,0,0,AmeriCredit Automobile Receivables Trust 2017-3
0,7/31/2018,144283.95,41829890.35,1768753.52,41829890.35,13990618.41,547306294,4667313.94,330007389.7,52741.43,2189971.71,0,0,AmeriCredit Automobile Receivables Trust 2017-3
0,6/30/2018,203288.69,43069930.99,1340357.39,43069930.99,13649929.03,566177679.1,4425887.57,340673128.1,15461.99,2290828.32,0,0,AmeriCredit Automobile Receivables Trust 2017-3
0,5/31/2018,110563.86,44316015.44,1960000.19,44316015.44,13585095.08,583879100.5,4713092.3,351462591.1,23139.09,2464407.44,0,286.95,AmeriCredit Automobile Receivables Trust 2017-3
0,4/30/2018,196940.01,46101889.36,2092596.92,46101889.36,12644796.04,602001826.7,4678160.37,362512102.4,121998.29,2649276.6,0,286.95,AmeriCredit Automobile Receivables Trust 2017-3
0,3/31/2018,146946.83,47589517.16,1954995.03,47589517.16,13192838.55,621079536.9,4493757.82,373871857.9,102620.74,2735403.2,0,584.14,AmeriCredit Automobile Receivables Trust 2017-3
0,2/28/2018,211616.61,49110026.21,2346280.85,49110026.21,19664058.58,642346990.9,6595236.29,385999249.6,38016.05,2983537.84,0,879.29,AmeriCredit Automobile Receivables Trust 2017-3
0,1/31/2018,408782.77,50936178.54,2889802.61,50936178.54,26189121.57,661834883.2,7783342.9,397903777.4,66318.42,3053350.47,0,1122.89,AmeriCredit Automobile Receivables Trust 2017-3
0,12/31/2017,253879.3,52374568.19,2003719.73,52374568.19,17308814.06,677661827.8,4463505.85,406970977,40193.59,3143440.92,0,1366.81,AmeriCredit Automobile Receivables Trust 2017-3
0,11/30/2017,51141.83,53748489.69,1470961.25,53748489.69,13702008.94,695519324,3674508.06,417649655,0,3295894.3,0,1583.27,AmeriCredit Automobile Receivables Trust 2017-3
0,10/31/2017,13952.68,55241423.46,1686383.32,55241423.46,12622800.5,712433677.1,4102102.31,428598039.9,18383.86,3352916.5,0,1872.27,AmeriCredit Automobile Receivables Trust 2017-3
0,9/30/2017,39009.14,56640987.76,1346656.84,56640987.76,11725579.83,729335497.4,3709002.3,440090151.2,50600.8,3491199.33,0,2085.21,AmeriCredit Automobile Receivables Trust 2017-3
0,8/31/2017,64964.88,57720008.06,869931.73,57720008.06,6833969.67,743507394,1790171.86,449277078.4,32216.94,3563623.27,0,2298.14,AmeriCredit Automobile Receivables Trust 2017-3
0,7/31/2017,0,58781134.5,102913.08,58781134.5,396248.54,757060215.2,44165.26,459364662.5,0,3607900.09,0,2510.37,AmeriCredit Automobile Receivables Trust 2017-3
0,6/30/2017,0,59652648.13,0,59652648.13,50765.52,769301202.2,49307.52,467250996.1,0,3676077.3,0,2744.24,AmeriCredit Automobile Receivables Trust 2017-3
0,9/30/2018,85878.38,48392931.05,2088319.95,48392931.05,13538223.97,580822935,5197468.08,401781304.3,40152.45,3947830.93,0,32899.54,AmeriCredit Automobile Receivables Trust 2017-4
0,8/31/2018,56736.96,49862065.25,1431259.15,49862065.25,11750252.97,598723255,5055966.5,414894493.5,60409.57,4125873.34,0,33811.63,AmeriCredit Automobile Receivables Trust 2017-4
0,7/31/2018,80913.2,51219126.93,1796625.38,51219126.93,11595135.04,618784509.8,4757397.37,428616973,47323.97,4260031.31,0,35184.04,AmeriCredit Automobile Receivables Trust 2017-4
0,6/30/2018,112027.95,52659731.18,1415698.61,52659731.18,10036053.79,636544589,3738763.26,441405870.3,17454.01,4482036.29,0,35573.25,AmeriCredit Automobile Receivables Trust 2017-4
0,5/31/2018,127713.05,54019858.18,1565968.23,54019858.18,10512780.71,654520666,4497056.71,454496007.5,17037.64,4804084.86,0,36949.92,AmeriCredit Automobile Receivables Trust 2017-4
0,4/30/2018,74959.39,55733753.61,1521445.8,55733753.61,11382515.44,673437579.8,4686894.58,468094377.7,50641.01,4894418.07,0,37350.21,AmeriCredit Automobile Receivables Trust 2017-4
0,3/31/2018,56774.66,57508512.41,1831257.93,57508512.41,11423696.11,692488205.9,4967050.41,481953445.5,33195.05,5163151.56,0,37748.6,AmeriCredit Automobile Receivables Trust 2017-4
0,2/28/2018,93644.8,59089553.1,2319474.46,59089553.1,16963366.34,715352964.7,5472491.73,497259580.2,16420.75,5337207.66,0,39172.74,AmeriCredit Automobile Receivables Trust 2017-4
0,1/31/2018,193800.37,60557182.77,2580996.9,60557182.77,19436423.8,733342918.6,6180749.31,509794210.4,22666.95,5482141.56,0,40036.53,AmeriCredit Automobile Receivables Trust 2017-4
0,12/31/2017,53061.93,61683878,1354464.6,61683878,10517042.47,748330268,3636181.53,520488366.4,22666.95,5640925.37,0,40892.44,AmeriCredit Automobile Receivables Trust 2017-4
0,11/30/2017,54893.08,62762145.5,428710.85,62762145.5,5034414.52,762960213.4,1391912.9,531108750.1,0,5775060.82,0,41744.9,AmeriCredit Automobile Receivables Trust 2017-4
0,10/31/2017,0,63752759.63,40943.53,63752759.63,190935.31,775564629.5,34760.16,540918711.3,0,5857410.72,0,42547.84,AmeriCredit Automobile Receivables Trust 2017-4
0,9/30/2017,0,64699838.58,60604.25,64699838.58,262985.55,787872131.7,22359.69,550147962.7,0,5957374.2,0,43368.05,AmeriCredit Automobile Receivables Trust 2017-4
0,9/30/2018,54207.41,34618975.07,662029.54,34618975.07,8564575.46,587661578.5,3530598.14,424058896.8,9173.79,2577789.19,0,0,AmeriCredit Automobile Receivables Trust 2018-1
0,8/31/2018,50068.34,35382509.58,683319.05,35382509.58,7724773.45,602337949.9,3405086.02,435392759.1,57384.62,2688179.11,0,0,AmeriCredit Automobile Receivables Trust 2018-1
0,7/31/2018,56662.41,36224901.79,702463.46,36224901.79,7079452.51,617863089.5,3087035.42,447285511.5,55842.49,2758143.24,0,0,AmeriCredit Automobile Receivables Trust 2018-1
0,6/30/2018,82291.28,36994514.52,564346.55,36994514.52,6167908.75,631740128.1,2125240.55,458463130.9,55901.04,2837065.33,0,0,AmeriCredit Automobile Receivables Trust 2018-1
0,5/31/2018,23972.06,37494459.18,354064.7,37494459.18,3787690.4,644068539.2,1379161.64,470097389.2,11755.13,2920209.99,0,0,AmeriCredit Automobile Receivables Trust 2018-1
0,4/30/2018,0,38032604.67,53613.92,38032604.67,158940.56,654418482.5,60931.46,480266053.7,0,2949059.99,0,0,AmeriCredit Automobile Receivables Trust 2018-1
0,3/31/2018,0,38540597.54,120999.85,38540597.54,908045.67,663623606.3,210692.25,488419874.6,0,2992636.79,0,0,AmeriCredit Automobile Receivables Trust 2018-1
0,9/30/2018,67858.5,103020126.9,166153.82,103020126.9,542138.54,46116622.04,783479.54,196007898.6,99041.65,220603597,0,182292997.7,Ford Credit Auto Owner Trust 2017-A
0,8/31/2018,52628.16,115365149.2,189042.8,115365149.2,618291.53,48184920.63,762630.18,203844706.8,140476,230606032.5,0,190005769.3,Ford Credit Auto Owner Trust 2017-A
0,7/31/2018,48949.82,121058211,192257.76,121058211,447216.3,50255374.26,594244.72,212893681.7,203713.32,241835913.8,0,198837857.5,Ford Credit Auto Owner Trust 2017-A
0,6/30/2018,74350.55,126933836.7,278341.05,126933836.7,420279.05,52399735.69,885348.53,222187785.6,113922.26,251915728.1,0,207714471.3,Ford Credit Auto Owner Trust 2017-A
0,5/31/2018,40492.66,132626355.6,352088.84,132626355.6,374443.95,54453601.14,561356.07,231630749.7,181372.29,262374653.9,30021.07,216630353.9,Ford Credit Auto Owner Trust 2017-A
0,4/30/2018,88188.97,138916714.9,248504.62,138916714.9,310883.61,56600950.32,845479.12,241057361.1,155356.52,273213209.8,21197.76,225520176.7,Ford Credit Auto Owner Trust 2017-A
0,3/31/2018,82693.36,144818551.6,222585.52,144818551.6,471420.65,58889165.13,520081.95,250719278.5,115100.47,283882888.4,0,234466155.5,Ford Credit Auto Owner Trust 2017-A
0,2/28/2018,170619.15,150815581.2,313550.83,150815581.2,553229.72,61242761.45,912577.79,260682759,146092.25,295685276.8,0,244119619.5,Ford Credit Auto Owner Trust 2017-A
0,1/31/2018,20213.89,157036396.2,259012.29,157036396.2,444315.27,63111486.47,981455.29,269595864.8,236352.53,306115755.1,0,252861835.6,Ford Credit Auto Owner Trust 2017-A
0,12/31/2017,82985.7,163649466,356045.77,163649466,324705.86,65420244.81,845649.87,279507036.7,146761.39,318161202.4,6770.84,262680510.2,Ford Credit Auto Owner Trust 2017-A
0,11/30/2017,80186.45,170168347.2,300445.73,170168347.2,303052.1,67408434.79,930745.5,289101792.1,200064.86,329815740.6,6770.84,272147701.9,Ford Credit Auto Owner Trust 2017-A
0,10/31/2017,37036.78,176470198,247625.81,176470198,215736.49,69392909.33,814915.49,299053971.9,126332.6,341342359,0,282145826.9,Ford Credit Auto Owner Trust 2017-A
0,9/30/2017,49848.78,183108172.5,232141.05,183108172.5,342269.18,71870906.09,886785.35,309571277.6,151734.77,353553058.3,11649.87,292475544.9,Ford Credit Auto Owner Trust 2017-A
